title,summary,comment,authors,category,split
The Minimal Model of Financial Complexity,"A representative investor generates realistic and complex security price paths by following this trading strategy: if, a few ticks ago, the market asset had two consecutive upticks or two consecutive downticks, then sell, and otherwise buy. This simple, unique, and robust model is the smallest possible deterministic model of financial complexity, and its generalization leads to complex variety. Compared to a random walk, the minimal model generates time series with fatter tails and more frequent crashes, thus more closely matching the real world. It does all this without any parameter fitting.","changed from LaTeX to Word; accepted for publication in Quantitative
  Finance",Philip Maymin,quantitative finance,val
Emergence of Power Law in a Market with Mixed Models,"We investigate the problem of wealth distribution from the viewpoint of asset exchange. Robust nature of Pareto's law across economies, ideologies and nations suggests that this could be an outcome of trading strategies. However, the simple asset exchange models fail to reproduce this feature. A yardsale(YS) model in which amount put on the bet is a fraction of minimum of the two players leads to condensation of wealth in hands of some agent while theft and fraud(TF) model in which the amount to be exchanged is a fraction of loser's wealth leads to an exponential distribution of wealth. We show that if we allow few agents to follow a different model than others, {\it i.e.} there are some agents following TF model while rest follow YS model, it leads to distribution with power law tails. Similar effect is observed when one carries out transactions for a fraction of one's wealth using TF model and for the rest YS model is used. We also observe a power law tail in wealth distribution if we allow the agents to follow either of the models with some probability.",18 pages and 9 figures,"M. Ali Saif, Prashant M. Gade",quantitative finance,train
Effects of introduction of new resources and fragmentation of existing resources on limiting wealth distribution in asset exchange models,"Pareto law, which states that wealth distribution in societies have a power-law tail, has been a subject of intensive investigations in statistical physics community. Several models have been employed to explain this behavior. However, most of the agent based models assume the conservation of number of agents and wealth. Both these assumptions are unrealistic. In this paper, we study the limiting wealth distribution when one or both of these assumptions are not valid. Given the universality of the law, we have tried to study the wealth distribution from the asset exchange models point of view. We consider models in which a) new agents enter the market at constant rate b) richer agents fragment with higher probability introducing newer agents in the system c) both fragmentation and entry of new agents is taking place. While models a) and c) do not conserve total wealth or number of agents, model b) conserves total wealth. All these models lead to a power-law tail in the wealth distribution pointing to the possibility that more generalized asset exchange models could help us to explain emergence of power-law tail in wealth distribution.",15 pages and 6 figures,"M. Ali Saif, Prashant M. Gade",quantitative finance,train
A Unified Framework for Dynamic Pari-Mutuel Information Market Design,"Recently, several new pari-mutuel mechanisms have been introduced to organize markets for contingent claims. Hanson introduced a market maker derived from the logarithmic scoring rule, and later Chen and Pennock developed a cost function formulation for the market maker. On the other hand, the SCPM model of Peters et al. is based on ideas from a call auction setting using a convex optimization model. In this work, we develop a unified framework that bridges these seemingly unrelated models for centrally organizing contingent claim markets. The framework, developed as a generalization of the SCPM, will support many desirable properties such as proper scoring, truthful bidding (in a myopic sense), efficient computation, and guarantees on worst case loss. In fact, our unified framework will allow us to express various proper scoring rules, existing or new, from classical utility functions in a convex optimization problem representing the market organizer. Additionally, we utilize concepts from duality to show that the market model is equivalent to a risk minimization problem where a convex risk measure is employed. This will allow us to more clearly understand the differences in the risk attitudes adopted by various mechanisms, and particularly deepen our intuition about popular mechanisms like Hanson's market-maker. In aggregate, we believe this work advances our understanding of the objectives that the market organizer is optimizing in popular pari-mutuel mechanisms by recasting them into one unified framework.",,"Shipra Agrawal, Erick Delage, Mark Peters, Zizhuo Wang, Yinyu Ye",quantitative finance,train
Optimal Trade Execution in Illiquid Markets,"We study optimal trade execution strategies in financial markets with discrete order flow. The agent has a finite liquidation horizon and must minimize price impact given a random number of incoming trade counterparties. Assuming that the order flow $N$ is given by a Poisson process, we give a full analysis of the properties and computation of the optimal dynamic execution strategy. Extensions, whereby (a) $N$ is a fully-observed regime-switching Poisson process; and (b) $N$ is a Markov-modulated compound Poisson process driven by a hidden Markov chain, are also considered. We derive and compare the properties of the three cases and illustrate our results with computational examples.",,"Erhan Bayraktar, Mike Ludkovski",quantitative finance,train
"Scale Invariance, Bounded Rationality and Non-Equilibrium Economics","We study a class of heterogeneous agent-based models which are based on a basic set of principles, and the most fundamental operations of an economic system: trade and product transformations. A basic guiding principle is scale invariance, which means that the dynamics of the economy should not depend on the units used to measure the different products. We develop the idea of a ""near-equilibrium"" expansion which allow us to study the dynamics of fluctuations around economic equilibrium. This is similar to the familiar ""perturbation theory"" studied in many areas of physics. We study some simple models of both centralized and decentralized markets. We show the relaxation to equilibrium when appropriate. More interestingly, we study a simple model of a decentralized market that shows a spontaneous transition into a monetary phase. We use mean field theory analysis to provide a statistical interpretation of the monetary phase. Furthermore, we show that such phase can be dynamically unstable. Finally, we study some simple centralized financial markets, one of which shows a speculative bubble and a crash.","40 pages, 17 figs",Samuel E. Vazquez,quantitative finance,train
"Liquidity Crisis, Granularity of the Order Book and Price Fluctuations","We introduce a microscopic model for the dynamics of the order book to study how the lack of liquidity influences price fluctuations. We use the average density of the stored orders (granularity $g$) as a proxy for liquidity. This leads to a Price Impact Surface which depends on both volume $\omega$ and $g$. The dependence on the volume (averaged over the granularity) of the Price Impact Surface is found to be a concave power law function $<\phi(\omega,g)>_g\sim\omega^\delta$ with $\delta\approx 0.59$. Instead the dependence on the granularity is $\phi(\omega,g|\omega)\sim g^\alpha$ with $\alpha\approx-1$, showing a divergence of price fluctuations in the limit $g\to 0$. Moreover, even in intermediate situations of finite liquidity, this effect can be very large and it is a natural candidate for understanding the origin of large price fluctuations.","18 pages, 7 figures","M. Cristelli, V. Alfi, L. Pietronero, A. Zaccaria",quantitative finance,train
Perturbation theory in a pure exchange non-equilibrium economy,"We develop a formalism to study linearized perturbations around the equilibria of a pure exchange economy. With the use of mean field theory techniques, we derive equations for the flow of products in an economy driven by heterogeneous preferences and probabilistic interaction between agents. We are able to show that if the economic agents have static preferences, which are also homogeneous in any of the steady states, the final wealth distribution is independent of the dynamics of the non-equilibrium theory. In particular, it is completely determined in terms of the initial conditions, and it is independent of the probability, and the network of interaction between agents. We show that the main effect of the network is to determine the relaxation time via the usual eigenvalue gap as in random walks on graphs.","7 pages, 2 figures","Samuel E. Vazquez, Simone Severini",quantitative finance,val
Stock markets and quantum dynamics: a second quantized description,"In this paper we continue our descriptions of stock markets in terms of some non abelian operators which are used to describe the portfolio of the various traders and other {\em observable} quantities. After a first prototype model with only two traders, we discuss a more realistic model of market with an arbitrary number of traders. For both models we find approximated solutions for the time evolution of the portfolio of each trader. In particular, for the more realistic model, we use the {\em stochastic limit} approach and a {\em fixed point like} approximation.",,F. Bagarello,quantitative finance,train
Simplified stock markets described by number operators,"In this paper we continue our systematic analysis of the operatorial approach previously proposed in an economical context and we discuss a {\em mixed} toy model of a simplified stock market, i.e. a model in which the price of the shares is given as an input. We deduce the time evolution of the portfolio of the various traders of the market, as well as of other {\em observable} quantities. As in a previous paper, we solve the equations of motion by means of a {\em fixed point like} approximation.","Rep. on Math. Phys., in press",F. Bagarello,quantitative finance,train
"Dynamical Equilibrium, trajectories study in an economical system. The case of the labor market","The paper deals with the study of labor market dynamics, and aims to characterize its equilibriums and possible trajectories. The theoretical background is the theory of the segmented labor market. The main idea is that this theory is well adapted to interpret the observed trajectories, due to the heterogeneity of the work situations.",accepted to the WSOM 2007 Conference (Bielefield),"Patrick Letrémy, Marie Cottrell, Patrice Gaubert, Joseph Rynkiewicz",statistics,train
Missing Data: A Comparison of Neural Network and Expectation Maximisation Techniques,"The estimation of missing input vector elements in real time processing applications requires a system that possesses the knowledge of certain characteristics such as correlations between variables, which are inherent in the input space. Computational intelligence techniques and maximum likelihood techniques do possess such characteristics and as a result are important for imputation of missing data. This paper compares two approaches to the problem of missing data estimation. The first technique is based on the current state of the art approach to this problem, that being the use of Maximum Likelihood (ML) and Expectation Maximisation (EM. The second approach is the use of a system based on auto-associative neural networks and the Genetic Algorithm as discussed by Adbella and Marwala3. The estimation ability of both of these techniques is compared, based on three datasets and conclusions are made.","24 pages, 7 figures, 4 tables","Fulufhelo V. Nelwamondo, Shakir Mohamed, Tshilidzi Marwala",statistics,train
An Integrated Human-Computer System for Controlling Interstate Disputes,"In this paper we develop a scientific approach to control inter-country conflict. This system makes use of a neural network and a feedback control approach. It was found that by controlling the four controllable inputs: Democracy, Dependency, Allies and Capability simultaneously, all the predicted dispute outcomes could be avoided. Furthermore, it was observed that controlling a single input Dependency or Capability also avoids all the predicted conflicts. When the influence of each input variable on conflict is assessed, Dependency, Capability, and Democracy emerge as key variables that influence conflict.","29 pages, 6 figures, 2 tables","Tshilidzi Marwala, Monica Lagazio, Thando Tettey",statistics,train
Mixed models for longitudinal left-censored repeated measures,"Longitudinal studies could be complicated by left-censored repeated measures. For example, in Human Immunodeficiency Virus infection, there is a detection limit of the assay used to quantify the plasma viral load. Simple imputation of the limit of the detection or of half of this limit for left-censored measures biases estimations and their standard errors. In this paper, we review two likelihood-based methods proposed to handle left-censoring of the outcome in linear mixed model. We show how to fit these models using SAS Proc NLMIXED and we compare this tool with other programs. Indications and limitations of the programs are discussed and an example in the field of HIV infection is shown.",,"Rodolphe Thiébaut, Hélène Jacqmin-Gadda",statistics,test
Finite Element Model Updating Using Bayesian Approach,"This paper compares the Maximum-likelihood method and Bayesian method for finite element model updating. The Maximum-likelihood method was implemented using genetic algorithm while the Bayesian method was implemented using the Markov Chain Monte Carlo. These methods were tested on a simple beam and an unsymmetrical H-shaped structure. The results show that the Bayesian method gave updated finite element models that predicted more accurate modal properties than the updated finite element models obtained through the use of the Maximum-likelihood method. Furthermore, both these methods were found to require the same levels of computational loads.","7 pages, IMAC2004","Tshilidzi Marwala, Lungile Mdlazi, Sibusiso Sibisi",statistics,val
Evaluating Throwing Ability in Baseball,We present a quantitative analysis of throwing ability for major league outfielders and catchers. We use detailed game event data to tabulate success and failure events in outfielder and catcher throwing opportunities. We attribute a run contribution to each success or failure which are tabulated for each player in each season. We use four seasons of data to estimate the overall throwing ability of each player using a Bayesian hierarchical model. This model allows us to shrink individual player estimates towards an overall population mean depending on the number of opportunities for each player. We use the posterior distribution of player abilities from this model to identify players with significant positive and negative throwing contributions.,"Accepted for publication in the Journal of Quantitative Analysis in
  Sports","Matthew Carruth, Shane T. Jensen",statistics,val
Modeling Hourly Ozone Concentration Fields,"This paper presents a dynamic linear model for modeling hourly ozone concentrations over the eastern United States. That model, which is developed within an Bayesian hierarchical framework, inherits the important feature of such models that its coefficients, treated as states of the process, can change with time. Thus the model includes a time--varying site invariant mean field as well as time varying coefficients for 24 and 12 diurnal cycle components. This cost of this model's great flexibility comes at the cost of computational complexity, forcing us to use an MCMC approach and to restrict application of our model domain to a small number of monitoring sites. We critically assess this model and discover some of its weaknesses in this type of application.","25 pages, 10 figures","Yiping Dou, Nhu D Le, James V Zidek",statistics,train
"Controlling for individual heterogeneity in longitudinal models, with applications to student achievement","Longitudinal data tracking repeated measurements on individuals are highly valued for research because they offer controls for unmeasured individual heterogeneity that might otherwise bias results. Random effects or mixed models approaches, which treat individual heterogeneity as part of the model error term and use generalized least squares to estimate model parameters, are often criticized because correlation between unobserved individual effects and other model variables can lead to biased and inconsistent parameter estimates. Starting with an examination of the relationship between random effects and fixed effects estimators in the standard unobserved effects model, this article demonstrates through analysis and simulation that the mixed model approach has a ``bias compression'' property under a general model for individual heterogeneity that can mitigate bias due to uncontrolled differences among individuals. The general model is motivated by the complexities of longitudinal student achievement measures, but the results have broad applicability to longitudinal modeling.","Published at http://dx.doi.org/10.1214/07-EJS057 in the Electronic
  Journal of Statistics (http://www.i-journals.org/ejs/) by the Institute of
  Mathematical Statistics (http://www.imstat.org)","J. R. Lockwood, Daniel F. McCaffrey",statistics,train
M-estimation of Boolean models for particle flow experiments,"Probability models are proposed for passage time data collected in experiments with a device designed to measure particle flow during aerial application of fertilizer. Maximum likelihood estimation of flow intensity is reviewed for the simple linear Boolean model, which arises with the assumption that each particle requires the same known passage time. M-estimation is developed for a generalization of the model in which passage times behave as a random sample from a distribution with a known mean. The generalized model improves fit in these experiments. An estimator of total particle flow is constructed by conditioning on lengths of multi-particle clumps.",,"Jason A. Osborne, Tony E. Grift",statistics,train
Does heterosexual transmission drive the HIV/AIDS epidemic in Sub-Saharan Africa (or elsewhere)?,"A two-sex Basic Reproduction Number (BRN) is used to investigate the conditions under which the Human Immunodeficiency Virus (HIV) may spread through heterosexual contacts in Sub-Saharan Africa. (The BRN is the expected number of new infections generated by one infected individual; the disease spreads if the BRN is larger than 1). A simple analytical expression for the BRN is derived on the basis of recent data on survival rates, transmission probabilities, and levels of sexual activity. Baseline results show that in the population at large (characterized by equal numbers of men and women) the BRN is larger than 1 if every year each person has 82 sexual contacts with different partners. the BRN is also larger than 1 for commercial sex workers (CSWs) and their clients (two populations of different sizes) if each CSW has about 256 clients per year and each client visits one CSW every two weeks. A sensitivity analysis explores the effect on the BRN of a doubling (or a halving) of the transmission probabilities. Implications and extensions are discussed.",,"Marc Artzrouni, Vivient Kamla",statistics,val
Construction of Bayesian Deformable Models via Stochastic Approximation Algorithm: A Convergence Study,"The problem of the definition and the estimation of generative models based on deformable templates from raw data is of particular importance for modelling non aligned data affected by various types of geometrical variability. This is especially true in shape modelling in the computer vision community or in probabilistic atlas building for Computational Anatomy (CA). A first coherent statistical framework modelling the geometrical variability as hidden variables has been given by Allassonni\`ere, Amit and Trouv\'e (JRSS 2006). Setting the problem in a Bayesian context they proved the consistency of the MAP estimator and provided a simple iterative deterministic algorithm with an EM flavour leading to some reasonable approximations of the MAP estimator under low noise conditions. In this paper we present a stochastic algorithm for approximating the MAP estimator in the spirit of the SAEM algorithm. We prove its convergence to a critical point of the observed likelihood with an illustration on images of handwritten digits.",,"Stéphanie Allassonnière, Estelle Kuhn, Alain Trouvé",statistics,val
The random Tukey depth,"The computation of the Tukey depth, also called halfspace depth, is very demanding, even in low dimensional spaces, because it requires the consideration of all possible one-dimensional projections. In this paper we propose a random depth which approximates the Tukey depth. It only takes into account a finite number of one-dimensional projections which are chosen at random. Thus, this random depth requires a very small computation time even in high dimensional spaces. Moreover, it is easily extended to cover the functional framework. We present some simulations indicating how many projections should be considered depending on the sample size and on the dimension of the sample space. We also compare this depth with some others proposed in the literature. It is noteworthy that the random depth, based on a very low number of projections, obtains results very similar to those obtained with other depths.",,"J. A. Cuesta-Albertos, A. Nieto-Reyes",statistics,test
Deconvolution by simulation,"Given samples (x_1,...,x_m) and (z_1,...,z_n) which we believe are independent realizations of random variables X and Z respectively, where we further believe that Z=X+Y with Y independent of X, the problem is to estimate the distribution of Y. We present a new method for doing this, involving simulation. Experiments suggest that the method provides useful estimates.","Published at http://dx.doi.org/10.1214/074921707000000021 in the IMS
  Lecture Notes Monograph Series
  (http://www.imstat.org/publications/lecnotes.htm) by the Institute of
  Mathematical Statistics (http://www.imstat.org)",Colin Mallows,statistics,val
Parallel marginalization Monte Carlo with applications to conditional path sampling,"Monte Carlo sampling methods often suffer from long correlation times. Consequently, these methods must be run for many steps to generate an independent sample. In this paper a method is proposed to overcome this difficulty. The method utilizes information from rapidly equilibrating coarse Markov chains that sample marginal distributions of the full system. This is accomplished through exchanges between the full chain and the auxiliary coarse chains. Results of numerical tests on the bridge sampling and filtering/smoothing problems for a stochastic differential equation are presented.",,Jonathan Weare,statistics,train
On The Density Estimation by Super-Parametric Method,"The super-parametric density estimators and its related algorism were suggested by Y. -S. Tsai et al [7]. The number of parameters is unlimited in the super- parametric estimators and it is a general theory in sense of unifying or connecting nonparametric and parametric estimators. Before applying to numerical examples, we can not give any comment of the estimators. In this paper, we will focus on the implementation, the computer programming, of the algorism and strategies of choosing window functions. B-splines, Bezier splines and covering windows are studied as well. According to the criterion of the convergence conditions for Parzen window, the number of the window functions shall be, roughly, proportional to the number of samples and so is the number of the variables. Since the algorism is designed for solving the optimization of likelihood function, there will be a set of nonlinear equations with a large number of variables. The results show that algorism suggested by Y. -S. Tsai is very powerful and effective in the sense of mathematics, that is, the iteration procedures converge and the rates of convergence are very fast. Also, the numerical results of different window functions show that the approach of super-parametric density estimators has ushered a new era of statistics.","In this paper, new aspproaches od density estimation are studied. The
  B-spline estimatos and the Berzier spline are stdudied carfully. The
  consistency of the Bezier spline estimator is studied as well. There are 17
  pages including 6 figures","Yeong-Shyeong Tsai, Ying-Lin Hsu, Mung-Chung Shung",statistics,train
Adaptive Importance Sampling in General Mixture Classes,"In this paper, we propose an adaptive algorithm that iteratively updates both the weights and component parameters of a mixture importance sampling density so as to optimise the importance sampling performances, as measured by an entropy criterion. The method is shown to be applicable to a wide class of importance sampling densities, which includes in particular mixtures of multivariate Student t distributions. The performances of the proposed scheme are studied on both artificial and real examples, highlighting in particular the benefit of a novel Rao-Blackwellisation device which can be easily incorporated in the updating scheme.",Removed misleading comment in Section 2,"Olivier Cappé, Randal Douc, Arnaud Guillin, Jean-Michel Marin, Christian P. Robert",statistics,train
Particle Filters for Multiscale Diffusions,We consider multiscale stochastic systems that are partially observed at discrete points of the slow time scale. We introduce a particle filter that takes advantage of the multiscale structure of the system to efficiently approximate the optimal filter.,"to appear in ESAIM Proceedings (Workshop on Sequential Monte Carlo
  Methods: filtering and other applications, Oxford, 2006)",Anastasia Papavasiliou,statistics,train
An Elegant Method for Generating Multivariate Poisson Random Variable,Generating multivariate Poisson data is essential in many applications. Current simulation methods suffer from limitations ranging from computational complexity to restrictions on the structure of the correlation matrix. We propose a computationally efficient and conceptually appealing method for generating multivariate Poisson data. The method is based on simulating multivariate Normal data and converting them to achieve a specific correlation matrix and Poisson rate vector. This allows for generating data that have positive or negative correlations as well as different rates.,"11 pages, 11 figures","Inbal Yahav, Galit Shmueli",statistics,train
Population-Based Reversible Jump Markov Chain Monte Carlo,"In this paper we present an extension of population-based Markov chain Monte Carlo (MCMC) to the trans-dimensional case. One of the main challenges in MCMC-based inference is that of simulating from high and trans-dimensional target measures. In such cases, MCMC methods may not adequately traverse the support of the target; the simulation results will be unreliable. We develop population methods to deal with such problems, and give a result proving the uniform ergodicity of these population algorithms, under mild assumptions. This result is used to demonstrate the superiority, in terms of convergence rate, of a population transition kernel over a reversible jump sampler for a Bayesian variable selection problem. We also give an example of a population algorithm for a Bayesian multivariate mixture model with an unknown number of components. This is applied to gene expression data of 1000 data points in six dimensions and it is demonstrated that our algorithm out performs some competing Markov chain samplers.",,"Ajay Jasra, David A. Stephens, Chris C. Holmes",statistics,train
A statistical analysis of probabilistic counting algorithms,"This paper considers the problem of cardinality estimation in data stream applications. We present a statistical analysis of probabilistic counting algorithms, focusing on two techniques that use pseudo-random variates to form low-dimensional data sketches. We apply conventional statistical methods to compare probabilistic algorithms based on storing either selected order statistics, or random projections. We derive estimators of the cardinality in both cases, and show that the maximal-term estimator is recursively computable and has exponentially decreasing error bounds. Furthermore, we show that the estimators have comparable asymptotic efficiency, and explain this result by demonstrating an unexpected connection between the two approaches.","19 pages, 0 figures","Peter Clifford, Ioana A. Cosma",statistics,train
Inflated Beta Distributions,"This paper considers the issue of modeling fractional data observed in the interval [0,1), (0,1] or [0,1]. Mixed continuous-discrete distributions are proposed. The beta distribution is used to describe the continuous component of the model since its density can have quite diferent shapes depending on the values of the two parameters that index the distribution. Properties of the proposed distributions are examined. Also, maximum likelihood and method of moments estimation is discussed. Finally, practical applications that employ real data are presented.","15 pages, 4 figures. Submitted to Statistical Papers","Raydonal Ospina, Silvia L. P. Ferrari",statistics,train
Codage arithmetique pour la description d'une distribution,"Using predictive adaptive arithmetic coding and the Minimum Description Length principle, we derive an efficient tool for model selection problems : the RIC information criterion. We then present an extension of these coding techniques to non-parametrical estimation of a distribution and illustrate it on the gray scales histogram of an image. Key-words : Information criteria, MDL, model selection, non-parametrical estimation, histograms.","7 pages, 6 figures, in French, TAIMA'07 conference presentation
  http://taima.enst-bretagne.fr/","Guilhem Coq, Olivier Alata, Marc Arnaudon, Christian Olivier",statistics,train
Variable Selection Incorporating Prior Constraint Information into Lasso,"We propose the variable selection procedure incorporating prior constraint information into lasso. The proposed procedure combines the sample and prior information, and selects significant variables for responses in a narrower region where the true parameters lie. It increases the efficiency to choose the true model correctly. The proposed procedure can be executed by many constrained quadratic programming methods and the initial estimator can be found by least square or Monte Carlo method. The proposed procedure also enjoys good theoretical properties. Moreover, the proposed procedure is not only used for linear models but also can be used for generalized linear models({\sl GLM}), Cox models, quantile regression models and many others with the help of Wang and Leng (2007)'s LSA, which changes these models as the approximation of linear models. The idea of combining sample and prior constraint information can be also used for other modified lasso procedures. Some examples are used for illustration of the idea of incorporating prior constraint information in variable selection procedures.",15 pages,"Shurong Zheng, Guodong Song, Ning-Zhong Shi",statistics,train
Bayesian Covariance Matrix Estimation using a Mixture of Decomposable Graphical Models,"A Bayesian approach is used to estimate the covariance matrix of Gaussian data. Ideas from Gaussian graphical models and model selection are used to construct a prior for the covariance matrix that is a mixture over all decomposable graphs. For this prior the probability of each graph size is specified by the user and graphs of equal size are assigned equal probability. Most previous approaches assume that all graphs are equally probable. We show empirically that the prior that assigns equal probability over graph sizes outperforms the prior that assigns equal probability over all graphs, both in identifying the correct decomposable graph and in more efficiently estimating the covariance matrix.",28 pages and 11 figures,"Helen Armstrong, Christopher K. Carter, Kevin F. Wong, Robert Kohn",statistics,test
Sensitivity of principal Hessian direction analysis,"We provide sensitivity comparisons for two competing versions of the dimension reduction method principal Hessian directions (pHd). These comparisons consider the effects of small perturbations on the estimation of the dimension reduction subspace via the influence function. We show that the two versions of pHd can behave completely differently in the presence of certain observational types. Our results also provide evidence that outliers in the traditional sense may or may not be highly influential in practice. Since influential observations may lurk within otherwise typical data, we consider the influence function in the empirical setting for the efficient detection of influential observations in practice.","Published at http://dx.doi.org/10.1214/07-EJS064 in the Electronic
  Journal of Statistics (http://www.i-journals.org/ejs/) by the Institute of
  Mathematical Statistics (http://www.imstat.org)","Luke A. Prendergast, Jodie A. Smith",statistics,train
Statistical testing procedure for the interaction effects of several controllable factors in two-valued input-output systems,"Suppose several two-valued input-output systems are designed by setting the levels of several controllable factors. For this situation, Taguchi method has proposed to assign the controllable factors to the orthogonal array and use ANOVA model for the standardized SN ratio, which is a natural measure for evaluating the performance of each input-output system. Though this procedure is simple and useful in application indeed, the result can be unreliable when the estimated standard errors of the standardized SN ratios are unbalanced. In this paper, we treat the data arising from the full factorial or fractional factorial designs of several controllable factors as the frequencies of high-dimensional contingency tables, and propose a general testing procedure for the main effects or the interaction effects of the controllable factors.",14pages,"Satoshi Aoki, Masami Miyakawa",statistics,train
Undercomplete Blind Subspace Deconvolution via Linear Prediction,"We present a novel solution technique for the blind subspace deconvolution (BSSD) problem, where temporal convolution of multidimensional hidden independent components is observed and the task is to uncover the hidden components using the observation only. We carry out this task for the undercomplete case (uBSSD): we reduce the original uBSSD task via linear prediction to independent subspace analysis (ISA), which we can solve. As it has been shown recently, applying temporal concatenation can also reduce uBSSD to ISA, but the associated ISA problem can easily become `high dimensional' [1]. The new reduction method circumvents this dimensionality problem. We perform detailed studies on the efficiency of the proposed technique by means of numerical simulations. We have found several advantages: our method can achieve high quality estimations for smaller number of samples and it can cope with deeper temporal convolutions.",12 pages,"Zoltan Szabo, Barnabas Poczos, Andras Lorincz",statistics,train
SiZer for time series: A new approach to the analysis of trends,"Smoothing methods and SiZer are a useful statistical tool for discovering statistically significant structure in data. Based on scale space ideas originally developed in the computer vision literature, SiZer (SIgnificant ZERo crossing of the derivatives) is a graphical device to assess which observed features are `really there' and which are just spurious sampling artifacts. In this paper, we develop SiZer like ideas in time series analysis to address the important issue of significance of trends. This is not a straightforward extension, since one data set does not contain the information needed to distinguish `trend' from `dependence'. A new visualization is proposed, which shows the statistician the range of trade-offs that are available. Simulation and real data results illustrate the effectiveness of the method.","Published at http://dx.doi.org/10.1214/07-EJS006 in the Electronic
  Journal of Statistics (http://www.i-journals.org/ejs/) by the Institute of
  Mathematical Statistics (http://www.imstat.org)","Vitaliana Rondonotti, J. S. Marron, Cheolwoo Park",statistics,train
On semiparametric regression with O'Sullivan penalised splines,"This is an expos\'e on the use of O'Sullivan penalised splines in contemporary semiparametric regression, including mixed model and Bayesian formulations. O'Sullivan penalised splines are similar to P-splines, but have an advantage of being a direct generalisation of smoothing splines. Exact expressions for the O'Sullivan penalty matrix are obtained. Comparisons between the two reveals that O'Sullivan penalised splines more closely mimic the natural boundary behaviour of smoothing splines. Implementation in modern computing environments such as Matlab, R and BUGS is discussed.",19 pages with 9 figures,"M. P. Wand, J. T. Ormerod",statistics,train
A new graphical tool of outliers detection in regression models based on recursive estimation,"We present in this paper a new tool for outliers detection in the context of multiple regression models. This graphical tool is based on recursive estimation of the parameters. Simulations were carried out to illustrate the performance of this graphical procedure. As a conclusion, this tool is applied to real data containing outliers according to the classical available tools.",,Christian Paroissin,statistics,train
Lasso type classifiers with a reject option,"We consider the problem of binary classification where one can, for a particular cost, choose not to classify an observation. We present a simple proof for the oracle inequality for the excess risk of structural risk minimizers using a lasso type penalty.","Published at http://dx.doi.org/10.1214/07-EJS058 in the Electronic
  Journal of Statistics (http://www.i-journals.org/ejs/) by the Institute of
  Mathematical Statistics (http://www.imstat.org)",Marten Wegkamp,statistics,train
Metric Embedding for Nearest Neighbor Classification,"The distance metric plays an important role in nearest neighbor (NN) classification. Usually the Euclidean distance metric is assumed or a Mahalanobis distance metric is optimized to improve the NN performance. In this paper, we study the problem of embedding arbitrary metric spaces into a Euclidean space with the goal to improve the accuracy of the NN classifier. We propose a solution by appealing to the framework of regularization in a reproducing kernel Hilbert space and prove a representer-like theorem for NN classification. The embedding function is then determined by solving a semidefinite program which has an interesting connection to the soft-margin linear binary support vector machine classifier. Although the main focus of this paper is to present a general, theoretical framework for metric embedding in a NN setting, we demonstrate the performance of the proposed method on some benchmark datasets and show that it performs better than the Mahalanobis metric learning algorithm in terms of leave-one-out and generalization errors.","9 pages, 1 table","Bharath K. Sriperumbudur, Gert R. G. Lanckriet",statistics,train
Degenerating families of dendrograms,"Dendrograms used in data analysis are ultrametric spaces, hence objects of nonarchimedean geometry. It is known that there exist $p$-adic representation of dendrograms. Completed by a point at infinity, they can be viewed as subtrees of the Bruhat-Tits tree associated to the $p$-adic projective line. The implications are that certain moduli spaces known in algebraic geometry are $p$-adic parameter spaces of (families of) dendrograms, and stochastic classification can also be handled within this framework. At the end, we calculate the topology of the hidden part of a dendrogram.","13 pages, 8 figures",Patrick Erik Bradley,statistics,val
Families of dendrograms,"A conceptual framework for cluster analysis from the viewpoint of p-adic geometry is introduced by describing the space of all dendrograms for n datapoints and relating it to the moduli space of p-adic Riemannian spheres with punctures using a method recently applied by Murtagh (2004b). This method embeds a dendrogram as a subtree into the Bruhat-Tits tree associated to the p-adic numbers, and goes back to Cornelissen et al. (2001) in p-adic geometry. After explaining the definitions, the concept of classifiers is discussed in the context of moduli spaces, and upper bounds for the number of hidden vertices in dendrograms are given.","7 pages, 3 figures. To appear in: Proceedings of the 31st Annual
  Conference of the German Classification Society on Data Analysis, Machine
  Learning, and Applications, Freiburg im Breisgau, 7-9 March 2007. Springer
  series Studies in Classification, Data Analysis, and Knowledge Organization",Patrick Erik Bradley,statistics,val
Online Learning in Discrete Hidden Markov Models,We present and analyse three online algorithms for learning in discrete Hidden Markov Models (HMMs) and compare them with the Baldi-Chauvin Algorithm. Using the Kullback-Leibler divergence as a measure of generalisation error we draw learning curves in simplified situations. The performance for learning drifting concepts of one of the presented algorithms is analysed and compared with the Baldi-Chauvin algorithm in the same situations. A brief discussion about learning and symmetry breaking based on our results is also presented.,"8 pages, 6 figures","Roberto C. Alamino, Nestor Caticha",statistics,train
